day,opentime,openprice,closetime,closeprice
2019/8/2,2019/8/2 9:01,2036,2019/8/2 14:58,2050
2019/8/5,2019/8/5 9:01,2050,2019/8/5 14:58,2034.5
2019/8/6,2019/8/6 9:01,2054,2019/8/6 14:58,2038
2019/8/7,2019/8/7 9:01,2055.5,2019/8/7 14:58,2064.5
2019/8/8,2019/8/8 9:01,2010.5,2019/8/8 14:58,2012
2019/8/9,2019/8/9 9:01,2014,2019/8/9 14:58,1935.5
2019/8/12,2019/8/12 9:01,1942.5,2019/8/12 14:58,2005
2019/8/13,2019/8/13 9:01,1998,2019/8/13 14:58,1984
2019/8/14,2019/8/14 9:01,2015.5,2019/8/14 14:58,1971
2019/8/15,2019/8/15 9:01,1984,2019/8/15 14:58,1978.5
2019/8/16,2019/8/16 9:01,1986.5,2019/8/16 14:58,1976.5
2019/8/19,2019/8/19 9:01,1980.5,2019/8/19 14:58,1980
2019/8/20,2019/8/20 9:01,1980.5,2019/8/20 14:58,1984.5
2019/8/21,2019/8/21 9:01,1949,2019/8/21 14:58,1957.5
2019/8/22,2019/8/22 9:01,1958,2019/8/22 14:58,1955.5
2019/8/23,2019/8/23 9:01,1951.5,2019/8/23 14:58,1949.5
2019/8/26,2019/8/26 9:01,1930,2019/8/26 14:58,1882
2019/8/27,2019/8/27 9:01,1878,2019/8/27 14:58,1875
2019/8/28,2019/8/28 9:01,1852.5,2019/8/28 14:58,1886.5
2019/8/29,2019/8/29 9:01,1876,2019/8/29 14:58,1858.5
2019/8/30,2019/8/30 9:01,1878.5,2019/8/30 14:58,1893
2019/9/2,2019/9/2 9:01,1895,2019/9/2 14:58,1916.5
2019/9/3,2019/9/3 9:01,1906.5,2019/9/3 14:58,1887
2019/9/4,2019/9/4 9:01,1892.5,2019/9/4 14:58,1915.5
2019/9/5,2019/9/5 9:01,1922.5,2019/9/5 14:58,1920
2019/9/6,2019/9/6 9:01,1921.5,2019/9/6 14:58,1918
2019/9/9,2019/9/9 9:01,1932.5,2019/9/9 14:58,1963
2019/9/10,2019/9/10 9:01,1957.5,2019/9/10 14:58,1961.5
2019/9/11,2019/9/11 9:01,1960,2019/9/11 14:58,1972.5
2019/9/12,2019/9/12 9:01,1969.5,2019/9/12 14:58,2007
2019/9/16,2019/9/16 9:01,2021,2019/9/16 14:58,2001
2019/9/17,2019/9/17 9:01,1993.5,2019/9/17 14:58,1973
2019/9/18,2019/9/18 9:01,1983,2019/9/18 14:58,1978.5
2019/9/19,2019/9/19 9:01,1989,2019/9/19 14:58,1966
2019/9/20,2019/9/20 9:01,1942.5,2019/9/20 14:58,1941
2019/9/23,2019/9/23 9:01,1945,2019/9/23 14:58,1982.5
2019/9/24,2019/9/24 9:01,1975,2019/9/24 14:58,1892
2019/9/25,2019/9/25 9:01,1883,2019/9/25 14:58,1895
2019/9/26,2019/9/26 9:01,1917,2019/9/26 14:58,1888.5
2019/9/27,2019/9/27 9:01,1884.5,2019/9/27 14:58,1879.5
2019/9/30,2019/9/30 9:01,1905,2019/9/30 14:58,1872
2019/10/8,2019/10/8 9:01,1890,2019/10/8 14:58,1878.5
2019/10/9,2019/10/9 9:01,1881,2019/10/9 14:58,1852
2019/10/10,2019/10/10 9:01,1850,2019/10/10 14:58,1862
2019/10/11,2019/10/11 9:01,1857,2019/10/11 14:58,1860.5
2019/10/14,2019/10/14 9:01,1873.5,2019/10/14 14:58,1809.5
2019/10/15,2019/10/15 9:01,1775,2019/10/15 14:58,1809.5
2019/10/16,2019/10/16 9:01,1813.5,2019/10/16 14:58,1774.5
2019/10/17,2019/10/17 9:01,1782,2019/10/17 14:58,1789.5
2019/10/18,2019/10/18 9:01,1779.5,2019/10/18 14:58,1777.5
2019/10/21,2019/10/21 9:01,1774,2019/10/21 14:58,1741.5
2019/10/22,2019/10/22 9:01,1740,2019/10/22 14:58,1746
2019/10/23,2019/10/23 9:01,1771,2019/10/23 14:58,1768.5
2019/10/24,2019/10/24 9:01,1771,2019/10/24 14:58,1779
2019/10/25,2019/10/25 9:01,1771,2019/10/25 14:58,1794.5
2019/10/28,2019/10/28 9:01,1793.5,2019/10/28 14:58,1745.5
2019/10/29,2019/10/29 9:01,1751.5,2019/10/29 14:58,1756.5
2019/10/30,2019/10/30 9:01,1756.5,2019/10/30 14:58,1746
2019/10/31,2019/10/31 9:01,1743,2019/10/31 14:58,1737
2019/11/1,2019/11/1 9:01,1735,2019/11/1 14:58,1748
2019/11/4,2019/11/4 9:01,1738,2019/11/4 14:58,1735
2019/11/5,2019/11/5 9:01,1736,2019/11/5 14:58,1764
2019/11/6,2019/11/6 9:01,1765.5,2019/11/6 14:58,1750.5
2019/11/7,2019/11/7 9:01,1756,2019/11/7 14:58,1747
2019/11/8,2019/11/8 9:01,1752,2019/11/8 14:58,1751.5
2019/11/11,2019/11/11 9:01,1722.5,2019/11/11 14:58,1696.5
2019/11/12,2019/11/12 9:01,1704.5,2019/11/12 14:58,1720.5
2019/11/13,2019/11/13 9:01,1719.5,2019/11/13 14:58,1711.5
2019/11/14,2019/11/14 9:01,1713,2019/11/14 14:58,1750.5
2019/11/15,2019/11/15 9:01,1761,2019/11/15 14:58,1760.5
2019/11/18,2019/11/18 9:01,1778,2019/11/18 14:58,1756.5
2019/11/19,2019/11/19 9:01,1767,2019/11/19 14:58,1812.5
2019/11/20,2019/11/20 9:01,1807.5,2019/11/20 14:58,1812.5
2019/11/21,2019/11/21 9:01,1804,2019/11/21 14:58,1802.5
2019/11/22,2019/11/22 9:01,1815,2019/11/22 14:58,1815
2019/11/25,2019/11/25 9:01,1895,2019/11/25 14:58,1907.5
2019/11/26,2019/11/26 9:01,1880,2019/11/26 14:58,1859
2019/11/27,2019/11/27 9:01,1858.5,2019/11/27 14:58,1866
2019/11/28,2019/11/28 9:01,1864.5,2019/11/28 14:58,1859
2019/11/29,2019/11/29 9:01,1871.5,2019/11/29 14:58,1849.5
2019/12/2,2019/12/2 9:01,1821,2019/12/2 14:58,1859.5
2019/12/3,2019/12/3 9:01,1859,2019/12/3 14:58,1861.5
2019/12/4,2019/12/4 9:01,1881,2019/12/4 14:58,1874
2019/12/5,2019/12/5 9:01,1884,2019/12/5 14:58,1863
2019/12/6,2019/12/6 9:01,1869.5,2019/12/6 14:58,1872.5
2019/12/9,2019/12/9 9:01,1887,2019/12/9 14:58,1927.5
2019/12/10,2019/12/10 9:01,1932,2019/12/10 14:58,1913.5
2019/12/11,2019/12/11 9:01,1922,2019/12/11 14:58,1915
2019/12/12,2019/12/12 9:01,1841,2019/12/12 14:58,1846
2019/12/13,2019/12/13 9:01,1850,2019/12/13 14:58,1844
2019/12/16,2019/12/16 9:01,1854,2019/12/16 14:58,1827
2019/12/17,2019/12/17 9:01,1826.5,2019/12/17 14:58,1854.5
2019/12/18,2019/12/18 9:01,1862.5,2019/12/18 14:58,1859
2019/12/19,2019/12/19 9:01,1863.5,2019/12/19 14:58,1888.5
2019/12/20,2019/12/20 9:01,1877.5,2019/12/20 14:58,1870.5
2019/12/23,2019/12/23 9:01,1877.5,2019/12/23 14:58,1863
2019/12/24,2019/12/24 9:01,1847,2019/12/24 14:58,1852.5
2019/12/25,2019/12/25 9:01,1848,2019/12/25 14:58,1845
2019/12/26,2019/12/26 9:01,1842,2019/12/26 14:58,1851.5
2019/12/27,2019/12/27 9:01,1861,2019/12/27 14:58,1856
2019/12/30,2019/12/30 9:01,1858,2019/12/30 14:58,1861.5
2019/12/31,2019/12/31 9:01,1866.5,2019/12/31 14:58,1882.5
2020/1/2,2020/1/2 9:01,1893,2020/1/2 14:58,1865.5
2020/1/3,2020/1/3 9:01,1867.5,2020/1/3 14:58,1868.5
2020/1/6,2020/1/6 9:01,1873,2020/1/6 14:58,1879
2020/1/7,2020/1/7 9:01,1883,2020/1/7 14:58,1891
2020/1/8,2020/1/8 9:01,1899.5,2020/1/8 14:58,1909.5
2020/1/9,2020/1/9 9:01,1897,2020/1/9 14:58,1877
2020/1/10,2020/1/10 9:01,1884.5,2020/1/10 14:58,1879.5
2020/1/13,2020/1/13 9:01,1876.5,2020/1/13 14:58,1849
2020/1/14,2020/1/14 9:01,1852.5,2020/1/14 14:58,1860
2020/1/15,2020/1/15 9:01,1858,2020/1/15 14:58,1854
2020/1/16,2020/1/16 9:01,1861.5,2020/1/16 14:58,1858
2020/1/17,2020/1/17 9:01,1862.5,2020/1/17 14:58,1874
2020/1/20,2020/1/20 9:01,1872,2020/1/20 14:58,1881.5
2020/1/21,2020/1/21 9:01,1874,2020/1/21 14:58,1861
2020/1/22,2020/1/22 9:01,1856.5,2020/1/22 14:58,1867
2020/1/23,2020/1/23 9:01,1853,2020/1/23 14:58,1830
2020/2/3,2020/2/3 9:01,1750,2020/2/3 14:58,1737.5
2020/2/4,2020/2/4 9:01,1733.5,2020/2/4 14:58,1779.5
2020/2/5,2020/2/5 9:01,1776,2020/2/5 14:58,1773.5
2020/2/6,2020/2/6 9:01,1775,2020/2/6 14:58,1793
2020/2/7,2020/2/7 9:01,1793,2020/2/7 14:58,1792
2020/2/10,2020/2/10 9:01,1785.5,2020/2/10 14:58,1798.5
2020/2/11,2020/2/11 9:01,1799,2020/2/11 14:58,1853.5
2020/2/12,2020/2/12 9:01,1855.5,2020/2/12 14:58,1887.5
2020/2/13,2020/2/13 9:01,1886,2020/2/13 14:58,1879.5
2020/2/14,2020/2/14 9:01,1880.5,2020/2/14 14:58,1882
2020/2/17,2020/2/17 9:01,1871.5,2020/2/17 14:58,1874
2020/2/18,2020/2/18 9:01,1870,2020/2/18 14:58,1844
2020/2/19,2020/2/19 9:01,1849,2020/2/19 14:58,1840
2020/2/20,2020/2/20 9:01,1845,2020/2/20 14:58,1874.5
2020/2/21,2020/2/21 9:01,1874.5,2020/2/21 14:58,1868
2020/2/24,2020/2/24 9:01,1863,2020/2/24 14:58,1864.5
2020/2/25,2020/2/25 9:01,1845,2020/2/25 14:58,1869
2020/2/26,2020/2/26 9:01,1865,2020/2/26 14:58,1846
2020/2/27,2020/2/27 9:01,1842.5,2020/2/27 14:58,1806.5
2020/2/28,2020/2/28 9:01,1785,2020/2/28 14:58,1787
2020/3/2,2020/3/2 9:01,1788,2020/3/2 14:58,1836.5
2020/3/3,2020/3/3 9:01,1846,2020/3/3 14:58,1828
2020/3/4,2020/3/4 9:01,1822,2020/3/4 14:58,1835.5
2020/3/5,2020/3/5 9:01,1836,2020/3/5 14:58,1828
2020/3/6,2020/3/6 9:01,1825,2020/3/6 14:58,1800
2020/3/9,2020/3/9 9:01,1766,2020/3/9 14:58,1806
2020/3/10,2020/3/10 9:01,1808,2020/3/10 14:58,1821
2020/3/11,2020/3/11 9:01,1821,2020/3/11 14:58,1823.5
2020/3/12,2020/3/12 9:01,1820,2020/3/12 14:58,1827
2020/3/13,2020/3/13 9:01,1815,2020/3/13 14:58,1877
2020/3/16,2020/3/16 9:01,1867,2020/3/16 14:58,1845.5
2020/3/17,2020/3/17 9:01,1839,2020/3/17 14:58,1853.5
2020/3/18,2020/3/18 9:01,1842,2020/3/18 14:58,1831
2020/3/19,2020/3/19 9:01,1830,2020/3/19 14:58,1812.5
2020/3/20,2020/3/20 9:01,1814.5,2020/3/20 14:58,1787.5
2020/3/23,2020/3/23 9:01,1756,2020/3/23 14:58,1765.5
2020/3/24,2020/3/24 9:01,1778,2020/3/24 14:58,1794
2020/3/25,2020/3/25 9:01,1805,2020/3/25 14:58,1799.5
2020/3/26,2020/3/26 9:01,1807,2020/3/26 14:58,1794.5
2020/3/27,2020/3/27 9:01,1795,2020/3/27 14:58,1799.5
